"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"2","2","0","OLD","20211472","늑대사냥","2022-09-21","863513635","19.7","341441917","65.4","2673859703","79096","30298","62.1","257754","1226","4420"
"3","3","0","OLD","20226957","아바타 리마스터링","2022-09-21","609619920","13.9","366772840","151","1241142100","37368","23013","160.3","75797","285","1194"
"4","4","0","OLD","20217826","육사오(6/45)","2022-08-24","177684128","4.0","74010328","71.4","19212587163","20078","7426","58.7","1911774","639","1163"
"5","5","29","OLD","20219628","정직한 후보2","2022-09-28","127303915","2.9","125821915","8490","203592915","11368","11200","6666.7","19959","445","790"
"6","6","-1","OLD","20226751","극장판 5등분의 신부","2022-09-22","85015800","1.9","38076900","81.1","201130700","7499","3471","86.2","17887","88","213"
"7","7","0","OLD","20226444","극장판 엄마 까투리: 도시로 간 까투리 가족","2022-09-08","70019476","1.6","56954876","435.9","1450007984","7223","5645","357.7","155082","373","495"
"8","8","15","OLD","20198317","인생은 아름다워","2022-09-28","53749513","1.2","50811513","1729.5","256135108","4799","4527","1664.3","25180","442","717"
"9","9","-1","OLD","20196776","프린세스 아야","2022-09-21","34354800","0.8","24422100","245.9","77288599","3947","2533","179.1","9426","348","451"
"10","10","-1","OLD","20226879","인생은 뷰티풀: 비타돌체","2022-09-07","72140000","1.6","46004500","176","1521797500","2705","1564","137.1","46433","18","21"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20215601","공조2: 인터내셔날","2022-09-07","1855341096","47.9","-271678682","-12.8","57227555342","178619","-24587","-12.1","5555330","1729","6519"
"2","2","0","OLD","20211472","늑대사냥","2022-09-21","732240523","18.9","-131273112","-15.2","3406100226","67046","-12050","-15.2","324800","1194","4247"
"3","3","0","OLD","20226957","아바타 리마스터링","2022-09-21","593212840","15.3","-16407080","-2.7","1834354940","37193","-175","-0.5","112990","285","1145"
"4","4","0","OLD","20217826","육사오(6/45)","2022-08-24","156191654","4.0","-21492474","-12.1","19368778817","17665","-2413","-12","1929439","642","1136"
"5","5","0","OLD","20219628","정직한 후보2","2022-09-28","142906668","3.7","15602753","12.3","346499583","12780","1412","12.4","32739","447","785"
"6","6","1","OLD","20226444","극장판 엄마 까투리: 도시로 간 까투리 가족","2022-09-08","74742235","1.9","4722759","6.7","1524750219","7737","514","7.1","162819","379","501"
"7","7","-1","OLD","20226751","극장판 5등분의 신부","2022-09-22","61689200","1.6","-23326600","-27.4","262819900","5473","-2026","-27","23360","87","210"
"8","8","0","OLD","20198317","인생은 아름다워","2022-09-28","60079489","1.6","6329976","11.8","316214597","5407","608","12.7","30587","447","734"
"9","9","0","OLD","20196776","프린세스 아야","2022-09-21","35184798","0.9","829998","2.4","112473397","4067","120","3","13493","337","425"
"10","10","1","OLD","20211792","헌트","2022-08-10","17618592","0.5","-4036436","-18.6","44530836970","2030","-439","-17.8","4344403","187","245"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20215601","공조2: 인터내셔날","2022-09-07","572503262","45.3","-1282837834","-69.1","57800058604","58275","-120344","-67.4","5613605","1513","6224"
"2","2","0","OLD","20211472","늑대사냥","2022-09-21","238265508","18.9","-493975015","-67.5","3644365734","23070","-43976","-65.6","347870","1090","4068"
"3","3","0","OLD","20226957","아바타 리마스터링","2022-09-21","154324380","12.2","-438888460","-74","1988679320","9807","-27386","-73.6","122797","273","1003"
"4","4","0","OLD","20217826","육사오(6/45)","2022-08-24","55948101","4.4","-100243553","-64.2","19424726918","6694","-10971","-62.1","1936133","563","1098"
"5","5","3","OLD","20198317","인생은 아름다워","2022-09-28","35607000","2.8","-24472489","-40.7","351821597","3823","-1584","-29.3","34410","16","19"
"6","6","-1","OLD","20219628","정직한 후보2","2022-09-28","21343000","1.7","-121563668","-85.1","367842583","2407","-10373","-81.2","35146","17","17"
"7","7","4","OLD","20226879","인생은 뷰티풀: 비타돌체","2022-09-07","50522500","4.0","20813500","70.1","1602029000","2356","1057","81.4","50088","17","20"
"8","8","2","OLD","20211792","헌트","2022-08-10","9514195","0.8","-8104397","-46","44540351165","1148","-882","-43.4","4345551","178","261"
"9","9","0","NEW","20217624","컴백홈","2022-10-05","8973000","0.7","8973000","100","16884000","997","997","100","1876","5","5"
"10","10","-3","OLD","20226751","극장판 5등분의 신부","2022-09-22","10676100","0.8","-51013100","-82.7","273496000","983","-4490","-82","24343","86","175"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20215601","공조2: 인터내셔날","2022-09-07","525626814","46.7","-46876448","-8.2","58325685418","54532","-3743","-6.4","5668137","1523","6186"
"2","2","0","OLD","20211472","늑대사냥","2022-09-21","214072321","19.0","-24193187","-10.2","3858438055","23155","85","0.4","371025","1087","3915"
"3","3","0","OLD","20226957","아바타 리마스터링","2022-09-21","150589180","13.4","-3735200","-2.4","2139268500","9737","-70","-0.7","132534","277","998"
"4","4","0","OLD","20217826","육사오(6/45)","2022-08-24","59703488","5.3","3755387","6.7","19484430406","7295","601","9","1943428","559","1081"
"5","5","2","OLD","20226879","인생은 뷰티풀: 비타돌체","2022-09-07","40641000","3.6","-9881500","-19.6","1642670000","1868","-488","-20.7","51956","16","18"
"6","6","8","OLD","20226444","극장판 엄마 까투리: 도시로 간 까투리 가족","2022-09-08","11654500","1.0","5941200","104","1542118019","1675","1036","162.1","165133","158","184"
"7","7","9","OLD","20196776","프린세스 아야","2022-09-21","8100000","0.7","4590701","130.8","124082696","1280","801","167.2","15252","141","170"
"8","8","0","OLD","20211792","헌트","2022-08-10","9881196","0.9","367001","3.9","44550232361","1252","104","9.1","4346803","192","290"
"9","9","0","OLD","20217624","컴백홈","2022-10-05","8973000","0.8","0","0","25857000","997","0","0","2873","5","5"
"10","10","0","OLD","20226751","극장판 5등분의 신부","2022-09-22","10430900","0.9","-245200","-2.3","283926900","955","-28","-2.8","25298","88","180"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","NEW","20219628","정직한 후보2","2022-09-28","577070465","29.8","577070465","100","944913048","72873","72873","100","108019","1318","5811"
"2","2","-1","OLD","20215601","공조2: 인터내셔날","2022-09-07","525178623","27.1","-448191","-0.1","58850864041","66336","11804","21.6","5734473","872","2608"
"3","3","0","NEW","20198317","인생은 아름다워","2022-09-28","359432057","18.6","359432057","100","711253654","45220","45220","100","79630","1285","4845"
"4","4","0","NEW","20226777","극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교","2022-09-28","114954659","5.9","114954659","100","123664359","12936","12936","100","13669","474","642"
"5","5","-3","OLD","20211472","늑대사냥","2022-09-21","97992183","5.1","-116080138","-54.2","3956430238","12472","-10683","-46.1","383497","471","986"
"6","6","0","NEW","20226670","극장판 헬로카봇: 수상한 마술단의 비밀","2022-09-28","55377755","2.9","55377755","100","64238755","6167","6167","100","7000","465","599"
"7","7","-4","OLD","20226957","아바타 리마스터링","2022-09-21","85863860","4.4","-64725320","-43","2225132360","4600","-5137","-52.8","137134","118","246"
"8","8","-4","OLD","20217826","육사오(6/45)","2022-08-24","20298696","1.0","-39404792","-66","19504729102","2656","-4639","-63.6","1946084","190","241"
"9","9","43","OLD","20225892","시맨틱 에러: 더 무비","2022-08-31","11465900","0.6","10613300","1244.8","594608400","1124","1042","1270.7","53625","7","7"
"10","10","15","OLD","20211244","성덕","2022-09-28","6162400","0.3","4083400","196.4","17513400","891","660","285.7","2257","57","66"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20219628","정직한 후보2","2022-09-28","420988171","27.3","-156082294","-27","1365901219","43810","-29063","-39.9","151829","1315","5483"
"2","2","0","OLD","20215601","공조2: 인터내셔날","2022-09-07","395345332","25.6","-129833291","-24.7","59246209373","41497","-24839","-37.4","5775970","963","2845"
"3","3","0","OLD","20198317","인생은 아름다워","2022-09-28","269334163","17.4","-90097894","-25.1","980587817","28562","-16658","-36.8","108192","1239","4488"
"4","4","0","OLD","20226777","극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교","2022-09-28","84880833","5.5","-30073826","-26.2","208545192","8459","-4477","-34.6","22128","474","644"
"5","5","0","OLD","20211472","늑대사냥","2022-09-21","73773091","4.8","-24219092","-24.7","4030203329","7540","-4932","-39.5","391037","462","925"
"6","6","0","NEW","20217624","컴백홈","2022-10-05","43627000","2.8","43627000","100","69484000","4843","4843","100","7716","25","25"
"7","7","0","OLD","20226957","아바타 리마스터링","2022-09-21","84942550","5.5","-921310","-1.1","2310074910","4550","-50","-1.1","141684","118","247"
"8","8","-2","OLD","20226670","극장판 헬로카봇: 수상한 마술단의 비밀","2022-09-28","41558300","2.7","-13819455","-25","105797055","4505","-1662","-26.9","11505","424","542"
"9","9","-1","OLD","20217826","육사오(6/45)","2022-08-24","17230297","1.1","-3068399","-15.1","19521959399","2190","-466","-17.5","1948274","189","225"
"10","10","4","OLD","20226751","극장판 5등분의 신부","2022-09-22","22508100","1.5","18676300","487.4","310266800","2186","1765","419.2","27905","50","78"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","1","OLD","20215601","공조2: 인터내셔날","2022-09-07","626056211","31.4","230710879","58.4","59872265584","62894","21397","51.6","5838864","1074","3450"
"2","2","-1","OLD","20219628","정직한 후보2","2022-09-28","501868511","25.2","80880340","19.2","1867769730","50377","6567","15","202206","1285","5527"
"3","3","0","OLD","20198317","인생은 아름다워","2022-09-28","331334834","16.6","62000671","23","1311922651","33317","4755","16.6","141509","1242","4565"
"4","4","0","OLD","20226777","극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교","2022-09-28","121987154","6.1","37106321","43.7","330532346","11792","3333","39.4","33920","522","707"
"5","5","2","OLD","20226957","아바타 리마스터링","2022-09-21","157703680","7.9","72761130","85.7","2467778590","8451","3901","85.7","150135","158","343"
"6","6","-1","OLD","20211472","늑대사냥","2022-09-21","87350582","4.4","13577491","18.4","4117553911","8261","721","9.6","399298","457","914"
"7","7","1","OLD","20226670","극장판 헬로카봇: 수상한 마술단의 비밀","2022-09-28","52368297","2.6","10809997","26","158165352","5613","1108","24.6","17118","472","610"
"8","8","1","OLD","20217826","육사오(6/45)","2022-08-24","22941499","1.2","5711202","33.1","19544900898","2837","647","29.5","1951111","192","249"
"9","9","1","OLD","20226751","극장판 5등분의 신부","2022-09-22","9720100","0.5","-12788000","-56.8","319986900","843","-1343","-61.4","28748","43","52"
"10","10","1","OLD","20211244","성덕","2022-09-28","5294698","0.3","-1471002","-21.7","29573798","660","-319","-32.6","3896","60","87"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20215601","공조2: 인터내셔날","2022-09-07","1131000202","26.8","504943991","80.7","61003265786","107515","44621","70.9","5946379","1210","3992"
"2","2","0","OLD","20219628","정직한 후보2","2022-09-28","927485030","22.0","425616519","84.8","2795254760","89931","39554","78.5","292137","1270","5568"
"3","3","1","OLD","20226777","극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교","2022-09-28","558090363","13.2","436103209","357.5","888622709","55649","43857","371.9","89569","761","1270"
"4","4","-1","OLD","20198317","인생은 아름다워","2022-09-28","536220036","12.7","204885202","61.8","1848142687","52840","19523","58.6","194349","1206","4494"
"5","5","2","OLD","20226670","극장판 헬로카봇: 수상한 마술단의 비밀","2022-09-28","381291298","9.0","328923001","628.1","539456650","39976","34363","612.2","57094","751","1313"
"6","6","-1","OLD","20226957","아바타 리마스터링","2022-09-21","377454320","8.9","219750640","139.3","2845232910","20836","12385","146.6","170971","168","396"
"7","7","-1","OLD","20211472","늑대사냥","2022-09-21","140764709","3.3","53414127","61.1","4258318620","12596","4335","52.5","411894","449","752"
"8","8","1","OLD","20226751","극장판 5등분의 신부","2022-09-22","42880700","1.0","33160600","341.2","362867600","3878","3035","360","32626","56","88"
"9","9","-1","OLD","20217826","육사오(6/45)","2022-08-24","26557290","0.6","3615791","15.8","19571458188","3021","184","6.5","1954132","162","202"
"10","10","0","OLD","20211244","성덕","2022-09-28","8594400","0.2","3299702","62.3","38168198","1038","378","57.3","4934","53","82"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20215601","공조2: 인터내셔날","2022-09-07","1404214408","28.7","273214206","24.2","62407480194","133605","26090","24.3","6079984","1237","4060"
"2","2","0","OLD","20219628","정직한 후보2","2022-09-28","1078842033","22.0","151357003","16.3","3874096793","104223","14292","15.9","396360","1268","5513"
"3","3","1","OLD","20198317","인생은 아름다워","2022-09-28","673177301","13.8","136957265","25.5","2521319988","66098","13258","25.1","260447","1215","4496"
"4","4","-1","OLD","20226777","극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교","2022-09-28","615886548","12.6","57796185","10.4","1504509257","61343","5694","10.2","150912","846","1441"
"5","5","0","OLD","20226670","극장판 헬로카봇: 수상한 마술단의 비밀","2022-09-28","342200366","7.0","-39090932","-10.3","881657016","35943","-4033","-10.1","93037","790","1363"
"6","6","0","OLD","20226957","아바타 리마스터링","2022-09-21","470083520","9.6","92629200","24.5","3315316430","26376","5540","26.6","197347","172","401"
"7","7","0","OLD","20211472","늑대사냥","2022-09-21","160412608","3.3","19647899","14","4418731228","14305","1709","13.6","426199","455","747"
"8","8","1","OLD","20217826","육사오(6/45)","2022-08-24","37336275","0.8","10778985","40.6","19608794463","4236","1215","40.2","1958368","178","222"
"9","9","-1","OLD","20226751","극장판 5등분의 신부","2022-09-22","15351200","0.3","-27529500","-64.2","378218800","1326","-2552","-65.8","33952","47","63"
"10","10","0","OLD","20211244","성덕","2022-09-28","7546899","0.2","-1047501","-12.2","45715097","791","-247","-23.8","5725","55","84"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20215601","공조2: 인터내셔날","2022-09-07","1377084870","27.0","-27129538","-1.9","63784565064","133804","199","0.1","6213788","1227","3991"
"2","2","0","OLD","20219628","정직한 후보2","2022-09-28","978994294","19.2","-99847739","-9.3","4853091087","96444","-7779","-7.5","492804","1248","5129"
"3","3","1","OLD","20226777","극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교","2022-09-28","795867621","15.6","179981073","29.2","2300376878","80513","19170","31.3","231425","873","1494"
"4","4","-1","OLD","20198317","인생은 아름다워","2022-09-28","777958545","15.3","104781244","15.6","3299278533","77600","11502","17.4","338047","1168","4214"
"5","5","0","OLD","20226670","극장판 헬로카봇: 수상한 마술단의 비밀","2022-09-28","468086521","9.2","125886155","36.8","1349743537","49953","14010","39","142990","781","1364"
"6","6","0","OLD","20226957","아바타 리마스터링","2022-09-21","448793400","8.8","-21290120","-4.5","3764109830","25716","-660","-2.5","223063","168","392"
"7","7","0","OLD","20211472","늑대사냥","2022-09-21","114745180","2.2","-45667428","-28.5","4533476408","10906","-3399","-23.8","437105","426","731"
"8","8","0","OLD","20217826","육사오(6/45)","2022-08-24","37482713","0.7","146438","0.4","19646277176","4249","13","0.3","1962617","171","215"
"9","9","3","OLD","20226444","극장판 엄마 까투리: 도시로 간 까투리 가족","2022-09-08","11952940","0.2","5867260","96.4","1570366199","1231","631","105.2","168246","34","43"
"10","10","-1","OLD","20226751","극장판 5등분의 신부","2022-09-22","10893000","0.2","-4458200","-29","389111800","955","-371","-28","34907","49","66"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20215601","공조2: 인터내셔날","2022-09-07","320084125","27.5","-1057000745","-76.8","64104649189","32755","-101049","-75.5","6246543","1033","3534"
"2","2","0","OLD","20219628","정직한 후보2","2022-09-28","240701327","20.6","-738292967","-75.4","5093792414","25449","-70995","-73.6","518253","1145","4376"
"3","3","1","OLD","20198317","인생은 아름다워","2022-09-28","235901354","20.2","-542057191","-69.7","3535179887","25258","-52342","-67.5","363305","1107","3882"
"4","4","-1","OLD","20226777","극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교","2022-09-28","94792741","8.1","-701074880","-88.1","2395169619","9717","-70796","-87.9","241142","551","882"
"5","5","1","OLD","20226957","아바타 리마스터링","2022-09-21","130980710","11.2","-317812690","-70.8","3895090540","7649","-18067","-70.3","230712","152","364"
"6","6","1","OLD","20211472","늑대사냥","2022-09-21","44725489","3.8","-70019691","-61","4578201897","4301","-6605","-60.6","441406","422","738"
"7","7","-2","OLD","20226670","극장판 헬로카봇: 수상한 마술단의 비밀","2022-09-28","26603398","2.3","-441483123","-94.3","1376346935","2996","-46957","-94","145986","424","542"
"8","8","0","NEW","20208101","대무가","2022-10-12","11416000","1.0","11416000","100","15304000","1264","1264","100","1696","5","5"
"9","9","-1","OLD","20217826","육사오(6/45)","2022-08-24","7988300","0.7","-29494413","-78.7","19654265476","925","-3324","-78.2","1963542","151","202"
"10","10","4","OLD","20200523","물방울을 그리는 남자","2022-09-28","5742300","0.5","68900","1.2","51710400","684","86","14.4","5891","43","56"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20215601","공조2: 인터내셔날","2022-09-07","269739555","23.0","-50344570","-15.7","64374388744","27520","-5235","-16","6274063","992","3303"
"2","2","1","OLD","20198317","인생은 아름다워","2022-09-28","226639591","19.3","-9261763","-3.9","3761819478","24760","-498","-2","388065","947","3126"
"3","3","-1","OLD","20219628","정직한 후보2","2022-09-28","187838879","16.0","-52862448","-22","5281631293","20128","-5321","-20.9","538381","966","3244"
"4","4","0","OLD","20226777","극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교","2022-09-28","98710818","8.4","3918077","4.1","2493880437","9963","246","2.5","251105","499","751"
"5","5","0","NEW","20217624","컴백홈","2022-10-05","68634523","5.9","68634523","100","138118523","7583","7583","100","15299","603","1753"
"6","6","0","NEW","20227308","스파이더맨: 노 웨이 홈 '펀버전'","2022-10-05","46848745","4.0","46848745","100","46848745","4479","4479","100","4479","347","715"
"7","7","0","NEW","20227073","신 에반게리온 극장판","2022-10-05","32542900","2.8","32542900","100","32542900","2944","2944","100","2944","93","187"
"8","8","0","NEW","20227452","엑스칼리버 더 뮤지컬 다큐멘터리: 도겸의 찬란한 여정","2022-10-05","51911000","4.4","51911000","100","73635500","2257","2257","100","3126","31","31"
"9","9","0","NEW","20226739","고고다이노 극장판: 얼음공룡의 비밀","2022-10-05","18499999","1.6","18499999","100","22747999","2120","2120","100","2578","321","378"
"10","10","0","NEW","20210087","듄","2021-10-20","27983000","2.4","27983000","100","17456443010","2008","2008","100","1588222","20","49"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20215601","공조2: 인터내셔날","2022-09-07","274275470","21.9","4535915","1.7","64648664214","28024","504","1.8","6302087","946","3067"
"2","2","0","OLD","20198317","인생은 아름다워","2022-09-28","225236107","18.0","-1403484","-0.6","3987055585","24418","-342","-1.4","412483","954","2992"
"3","3","0","OLD","20219628","정직한 후보2","2022-09-28","197320593","15.8","9481714","5","5478951886","21232","1104","5.5","559613","925","2982"
"4","4","0","OLD","20226777","극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교","2022-09-28","97661561","7.8","-1049257","-1.1","2591541998","9961","-2","0","261066","530","751"
"5","5","0","NEW","20225729","스마일","2022-10-06","94008120","7.5","94008120","100","96483120","9402","9402","100","9677","440","853"
"6","6","21","OLD","20226751","극장판 5등분의 신부","2022-09-22","76593400","6.1","74723900","3997","470219500","7722","7543","4214","43049","51","67"
"7","7","-2","OLD","20217624","컴백홈","2022-10-05","47786451","3.8","-20848072","-30.4","185904974","5294","-2289","-30.2","20593","568","1416"
"8","8","-2","OLD","20227308","스파이더맨: 노 웨이 홈 '펀버전'","2022-10-05","23953426","1.9","-22895319","-48.9","70802171","2259","-2220","-49.6","6738","299","577"
"9","9","0","OLD","20226739","고고다이노 극장판: 얼음공룡의 비밀","2022-10-05","16914900","1.4","-1585099","-8.6","39662899","2060","-60","-2.8","4638","287","319"
"10","10","0","OLD","20210087","듄","2021-10-20","24346000","1.9","-3637000","-13","17480789010","1659","-349","-17.4","1589881","20","51"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20215601","공조2: 인터내셔날","2022-09-07","434854079","26.3","160578609","58.5","65083518293","43168","15144","54","6345255","973","3293"
"2","2","0","OLD","20198317","인생은 아름다워","2022-09-28","312860738","18.9","87624631","38.9","4299916323","32493","8075","33.1","444976","1003","3238"
"3","3","0","OLD","20219628","정직한 후보2","2022-09-28","285051238","17.2","87730645","44.5","5764003124","29267","8035","37.8","588880","933","3207"
"4","4","0","OLD","20226777","극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교","2022-09-28","172076829","10.4","74415268","76.2","2763618827","16723","6762","67.9","277789","580","904"
"5","5","0","OLD","20225729","스마일","2022-10-06","107352362","6.5","13344242","14.2","203835482","9988","586","6.2","19665","445","857"
"6","6","1","OLD","20217624","컴백홈","2022-10-05","44945847","2.7","-2840604","-5.9","230850821","4783","-511","-9.7","25376","566","1343"
"7","7","1","OLD","20227308","스파이더맨: 노 웨이 홈 '펀버전'","2022-10-05","36724433","2.2","12771007","53.3","107526604","3437","1178","52.1","10175","335","670"
"8","8","2","OLD","20210087","듄","2021-10-20","35768000","2.2","11422000","46.9","17516557010","2422","763","46","1592303","20","51"
"9","9","0","OLD","20226739","고고다이노 극장판: 얼음공룡의 비밀","2022-10-05","19937899","1.2","3022999","17.9","59600798","2395","335","16.3","7033","322","358"
"10","10","2","OLD","20227073","신 에반게리온 극장판","2022-10-05","25151000","1.5","8246600","48.8","74598300","2076","579","38.7","6517","91","185"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20215601","공조2: 인터내셔날","2022-09-07","775346682","25.8","340492603","78.3","65858864975","73676","30508","70.7","6418931","1071","3743"
"2","2","0","OLD","20198317","인생은 아름다워","2022-09-28","515917355","17.2","203056617","64.9","4815833678","54625","22132","68.1","499601","1118","3679"
"3","3","1","OLD","20226777","극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교","2022-09-28","503353292","16.7","331276463","192.5","3266972119","49649","32926","196.9","327438","831","1714"
"4","4","-1","OLD","20219628","정직한 후보2","2022-09-28","386018598","12.8","100967360","35.4","6150021722","44676","15409","52.6","633556","936","3121"
"5","5","0","OLD","20225729","스마일","2022-10-06","142192063","4.7","34839701","32.5","346027545","12834","2846","28.5","32499","451","828"
"6","6","6","OLD","20226670","극장판 헬로카봇: 수상한 마술단의 비밀","2022-09-28","112258193","3.7","95399733","565.9","1529704487","11913","10082","550.6","162472","518","759"
"7","7","2","OLD","20226739","고고다이노 극장판: 얼음공룡의 비밀","2022-10-05","88514019","2.9","68576120","343.9","148114817","10069","7674","320.4","17102","514","712"
"8","8","-2","OLD","20217624","컴백홈","2022-10-05","53145986","1.8","8200139","18.2","283996807","5473","690","14.4","30849","567","1093"
"9","9","-2","OLD","20227308","스파이더맨: 노 웨이 홈 '펀버전'","2022-10-05","53967998","1.8","17243565","47","161494602","4782","1345","39.1","14957","319","627"
"10","10","6","OLD","20226726","극장판 검정고무신 : 즐거운 나의 집","2022-10-06","36858600","1.2","28710200","352.3","57568000","3880","2963","323.1","6596","224","309"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20215601","공조2: 인터내셔날","2022-09-07","1122108346","28.1","346761664","44.7","66980973321","106806","33130","45","6525737","1076","3814"
"2","2","0","OLD","20198317","인생은 아름다워","2022-09-28","762344301","19.1","246426946","47.8","5578177979","81115","26490","48.5","580716","1123","3791"
"3","3","1","OLD","20219628","정직한 후보2","2022-09-28","534811782","13.4","148793184","38.5","6684833504","61910","17234","38.6","695466","930","3143"
"4","4","-1","OLD","20226777","극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교","2022-09-28","626039988","15.7","122686696","24.4","3893012107","61786","12137","24.4","389224","869","1763"
"5","5","1","OLD","20226670","극장판 헬로카봇: 수상한 마술단의 비밀","2022-09-28","156968329","3.9","44710136","39.8","1686672816","16574","4661","39.1","179046","528","788"
"6","6","-1","OLD","20225729","스마일","2022-10-06","182957543","4.6","40765480","28.7","528985088","16422","3588","28","48921","455","828"
"7","7","0","OLD","20226739","고고다이노 극장판: 얼음공룡의 비밀","2022-10-05","104902896","2.6","16388877","18.5","253017713","10954","885","8.8","28056","531","723"
"8","8","0","OLD","20217624","컴백홈","2022-10-05","65957025","1.6","12811039","24.1","349953832","6727","1254","22.9","37576","581","1092"
"9","9","0","OLD","20227308","스파이더맨: 노 웨이 홈 '펀버전'","2022-10-05","59212604","1.5","5244606","9.7","220707206","5261","479","10","20218","330","610"
"10","10","0","OLD","20226726","극장판 검정고무신 : 즐거운 나의 집","2022-10-06","47445800","1.2","10587200","28.7","105013800","4708","828","21.3","11304","232","313"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20215601","공조2: 인터내셔날","2022-09-07","832261217","24.4","-289847129","-25.8","67813234538","80128","-26678","-25","6605865","1069","3672"
"2","2","0","OLD","20198317","인생은 아름다워","2022-09-28","646731457","18.9","-115612844","-15.2","6224909436","69053","-12062","-14.9","649769","1071","3611"
"3","3","1","OLD","20226777","극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교","2022-09-28","645226520","18.9","19186532","3.1","4538238627","64487","2701","4.4","453711","849","1755"
"4","4","-1","OLD","20219628","정직한 후보2","2022-09-28","421093710","12.3","-113718072","-21.3","7105927214","49038","-12872","-20.8","744504","927","2967"
